,count,mean,std,min,25%,50%,75%,max
adult_icu_bed_covid_utilization,72663.0,0.09795420184125689,0.10400953005104699,0.0,0.028169014084507,0.055555555555556,0.131428571428571,1.021204410517388
adult_icu_bed_covid_utilization_coverage,73398.0,88.34615384615384,87.22673419169155,1.0,29.0,62.0,120.0,591.0
adult_icu_bed_covid_utilization_numerator,73398.0,148.67236164473147,311.6704539816523,0.0,11.0,47.0,154.0,4718.0
adult_icu_bed_covid_utilization_denominator,73398.0,1308.0943894929017,1511.5374998386214,0.0,233.0,798.0,1752.0,9036.0
adult_icu_bed_utilization,73850.0,0.7042511736271778,0.11565044145031682,0.0,0.6528232769368877,0.7214318711777905,0.781488099471781,1.166666666666667
adult_icu_bed_utilization_coverage,74138.0,102.71679840297823,90.75530866984674,1.0,46.0,92.0,132.0,594.0
adult_icu_bed_utilization_numerator,74138.0,1073.4011168361703,1240.7805282652398,0.0,227.0,661.0,1327.0,8118.0
adult_icu_bed_utilization_denominator,74138.0,1476.2335914106127,1621.414200492534,0.0,318.0,904.0,1943.75,9214.0
geocoded_state,0.0,,,,,,,
previous_day_admission_adult_covid_confirmed_18-19,73789.0,0.5611947580262641,1.4511849019106509,0.0,0.0,0.0,1.0,45.0
previous_day_admission_adult_covid_confirmed_18-19_coverage,81335.0,93.19611483371243,91.8177732738871,0.0,29.0,73.0,128.0,598.0
previous_day_admission_adult_covid_confirmed_20-29,73213.0,4.762023137967301,10.362937087324498,0.0,0.0,2.0,5.0,198.0
previous_day_admission_adult_covid_confirmed_20-29_coverage,81335.0,90.89047765414644,91.25125239523894,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_30-39,73209.0,6.808165662691746,15.123983956046398,0.0,0.0,2.0,7.0,286.0
previous_day_admission_adult_covid_confirmed_30-39_coverage,81335.0,90.84780229913322,91.18727326619013,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_40-49,73207.0,7.957353804964006,17.842339574076114,0.0,1.0,3.0,8.0,327.0
previous_day_admission_adult_covid_confirmed_40-49_coverage,81335.0,90.85366693305465,91.18698899895217,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_50-59,73215.0,12.872321245646384,26.981020146108897,0.0,1.0,4.0,13.0,447.0
previous_day_admission_adult_covid_confirmed_50-59_coverage,81335.0,90.91896477531198,91.1933353870951,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_60-69,73236.0,18.0223114315364,34.257856886022076,0.0,2.0,7.0,19.0,570.0
previous_day_admission_adult_covid_confirmed_60-69_coverage,81335.0,91.00114341919223,91.2149786901466,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_70-79,73247.0,19.75517086024001,34.43925943109725,0.0,3.0,9.0,22.0,554.0
previous_day_admission_adult_covid_confirmed_70-79_coverage,81335.0,91.01839306571587,91.19335221216731,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_80+,73230.0,19.746879694114433,34.28823766918806,0.0,3.0,8.0,22.0,492.0
previous_day_admission_adult_covid_confirmed_80+_coverage,81335.0,90.71408372779247,91.12218251163839,0.0,29.0,73.0,122.0,598.0
previous_day_admission_adult_covid_confirmed_unknown,73686.0,4.115965040849008,17.57121477794946,0.0,0.0,0.0,2.0,915.0
previous_day_admission_adult_covid_confirmed_unknown_coverage,81335.0,93.95067314194381,92.08773298098434,0.0,30.0,74.0,128.0,598.0
previous_day_admission_adult_covid_suspected_18-19,73506.0,0.6747748483117024,2.086566684009347,0.0,0.0,0.0,1.0,230.0
previous_day_admission_adult_covid_suspected_18-19_coverage,81335.0,79.84360976209504,87.55746074722981,0.0,19.0,58.0,114.0,597.0
previous_day_admission_adult_covid_suspected_20-29,72873.0,4.524817147640415,7.6507190605410775,0.0,0.0,2.0,5.0,92.0
previous_day_admission_adult_covid_suspected_20-29_coverage,81335.0,77.99135673449315,86.70432707759295,0.0,18.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_30-39,72874.0,6.015478771578341,9.844969381221329,0.0,0.0,2.0,7.0,610.0
previous_day_admission_adult_covid_suspected_30-39_coverage,81335.0,77.97881600786869,86.68066049232557,0.0,18.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_40-49,72865.0,6.17013655390105,9.969102889545216,0.0,0.0,2.0,8.0,119.0
previous_day_admission_adult_covid_suspected_40-49_coverage,81335.0,77.91262064301961,86.72339536508038,0.0,17.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_50-59,72863.0,9.83995992479036,15.149777314948496,0.0,1.0,4.0,13.0,173.0
previous_day_admission_adult_covid_suspected_50-59_coverage,81335.0,78.03762217987337,86.68789403083817,0.0,18.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_60-69,72869.0,14.056114397068713,20.449246967692403,0.0,1.0,6.0,18.0,211.0
previous_day_admission_adult_covid_suspected_60-69_coverage,81335.0,78.09002274543555,86.69420525357431,0.0,18.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_70-79,72868.0,14.006257890980951,19.904573953229065,0.0,1.0,6.0,18.0,175.0
previous_day_admission_adult_covid_suspected_70-79_coverage,81335.0,78.05864633921436,86.68532114476848,0.0,18.0,56.0,111.0,597.0
previous_day_admission_adult_covid_suspected_80+,72861.0,12.994757140308257,19.497975287534544,0.0,1.0,6.0,16.0,206.0
previous_day_admission_adult_covid_suspected_80+_coverage,81335.0,77.73475133706276,86.55500916068705,0.0,18.0,56.0,110.0,597.0
previous_day_admission_adult_covid_suspected_unknown,73371.0,3.4722165433209304,15.527859091937273,-2.0,0.0,0.0,1.0,542.0
previous_day_admission_adult_covid_suspected_unknown_coverage,81335.0,80.32432532120244,87.60875719473758,0.0,20.0,59.0,115.0,597.0
deaths_covid,78622.0,9.47571926432805,41.127404361665384,0.0,0.0,1.0,8.0,2251.0
deaths_covid_coverage,81335.0,65.66726501506116,80.77074044038505,0.0,13.0,42.0,98.0,597.0
on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,63208.0,1177.824484242501,2151.7258563050054,0.0,35.0,356.0,1311.0,42719.0
on_hand_supply_therapeutic_b_bamlanivimab_courses,61122.0,831.9531428945388,1933.5143859543477,0.0,0.0,56.0,840.0,53800.0
on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,58519.0,760.5228900015379,1352.2401442124424,0.0,7.0,183.0,872.0,11742.0
previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,63246.0,120.32150649843469,444.7395842357396,0.0,0.0,0.0,34.0,12947.0
previous_week_therapeutic_b_bamlanivimab_courses_used,61194.0,34.48548877340916,966.8562003339304,0.0,0.0,0.0,0.0,235066.0
previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,58575.0,54.21560392658984,2041.4216353493484,0.0,0.0,0.0,15.0,492510.0
icu_patients_confirmed_influenza,69625.0,6.567985637342908,17.80977063366969,0.0,0.0,1.0,4.0,275.0
icu_patients_confirmed_influenza_coverage,81335.0,84.50910432163275,87.82669974664182,0.0,17.0,62.0,123.0,595.0
previous_day_admission_influenza_confirmed,69626.0,8.086375779162957,22.414588906560677,0.0,0.0,1.0,6.0,527.0
previous_day_admission_influenza_confirmed_coverage,81335.0,84.48237536116063,87.80366880770502,0.0,17.0,62.0,123.0,595.0
previous_day_deaths_covid_and_influenza,66974.0,0.05300564398124646,0.7937521052626072,0.0,0.0,0.0,0.0,51.0
previous_day_deaths_covid_and_influenza_coverage,81335.0,46.05726931825168,67.1546722804328,0.0,2.0,22.0,62.0,592.0
previous_day_deaths_influenza,67121.0,0.1496104050893163,1.6362695420330169,0.0,0.0,0.0,0.0,196.0
previous_day_deaths_influenza_coverage,81335.0,47.14751337062765,68.87647206087863,0.0,2.0,22.0,62.0,592.0
total_patients_hospitalized_confirmed_influenza,69569.0,43.30266354266987,107.68490088347471,0.0,2.0,9.0,33.0,2163.0
