date,total_admissions,deaths,icu_utilization,bed_occupancy
2020-04-16,38.0,1106.0,,0.5072226206352344
2020-04-17,86.0,1145.0,,0.50456353677039
2020-04-18,67.0,1363.0,,0.4940669265155347
2020-04-19,83.0,796.0,,0.493053445149956
2020-04-20,66.0,1020.0,,0.5061533619124895
2020-04-21,48.0,963.0,,0.5204746019157543
2020-04-22,0.0,1037.0,,0.5303112946247103
2020-04-23,50.0,1077.0,,0.532741741716254
2020-04-24,68.0,1200.0,,0.5279852256382381
2020-04-25,65.0,1131.0,,0.5158751988302417
2020-04-26,41.0,1032.0,,0.505751001426355
2020-04-27,48.0,1081.0,,0.5203950375994383
2020-04-28,44.0,1203.0,,0.5369014173039666
2020-04-29,68.0,1289.0,,0.5456076033889629
2020-04-30,111.0,1194.0,,0.540576957818551
2020-05-01,101.0,1302.0,,0.5442034475057194
2020-05-02,103.0,1229.0,,0.5293649692142228
2020-05-03,82.0,1067.0,,0.5209531826707675
2020-05-04,78.0,1149.0,,0.5362810812476072
2020-05-05,66.0,1118.0,,0.5549916660788121
2020-05-06,27.0,1061.0,,0.5690851444437727
2020-05-07,64.0,1114.0,,0.5638653166162637
2020-05-08,74.0,1170.0,,0.5622813321061996
2020-05-09,82.0,915.0,,0.5511889532473883
2020-05-10,60.0,879.0,,0.5385907094360081
2020-05-11,53.0,983.0,,0.5544218768572338
2020-05-12,54.0,963.0,,0.5825410295325009
2020-05-13,60.0,1036.0,,0.5994259613119727
2020-05-14,71.0,1042.0,,0.6039550599071367
2020-05-15,62.0,632.0,,0.5972592329975718
2020-05-16,93.0,606.0,,0.581081428783035
2020-05-17,66.0,585.0,,0.5709961002992583
2020-05-18,63.0,2729.0,,0.5768250986955394
2020-05-19,69.0,2727.0,,0.5986317027084276
2020-05-20,82.0,2767.0,,0.611725510876798
2020-05-21,60.0,2758.0,,0.6099858349091984
2020-05-22,21.0,2782.0,,0.6077198935769669
2020-05-23,58.0,2795.0,,0.5872521811478059
2020-05-24,46.0,2734.0,,0.5728068304480819
2020-05-25,46.0,2786.0,,0.5701754599724553
2020-05-26,39.0,2738.0,,0.5867354474846832
2020-05-27,46.0,2784.0,,0.6205381820632684
2020-05-28,46.0,2743.0,,0.6260918640006528
2020-05-29,46.0,2616.0,,0.619906835013993
2020-05-30,40.0,2543.0,,0.5993253770951321
2020-05-31,40.0,2531.0,,0.5876626359641718
2020-06-01,34.0,2578.0,,0.589872732468421
2020-06-02,27.0,2567.0,,0.6206629336340213
2020-06-03,23.0,2697.0,,0.6342853268496291
2020-06-04,30.0,371.0,,0.6313002023408039
2020-06-05,27.0,431.0,,0.6205466437396123
2020-06-06,27.0,376.0,,0.608476253467476
2020-06-07,32.0,343.0,,0.5927613909857212
2020-06-08,23.0,397.0,,0.5985351652634735
2020-06-09,20.0,379.0,,0.6261009930160095
2020-06-10,54.0,385.0,,0.6430044551286794
2020-06-11,59.0,407.0,,0.6435263366798669
2020-06-12,48.0,331.0,,0.6344398908969383
2020-06-13,44.0,284.0,,0.6082705313378179
2020-06-14,40.0,299.0,,0.5918262810369551
2020-06-15,25.0,351.0,,0.6021878389861256
2020-06-16,34.0,338.0,,0.62697877016171
2020-06-17,29.0,294.0,,0.6400314055233256
2020-06-18,36.0,303.0,,0.6434190646399559
2020-06-19,39.0,259.0,,0.6389213741153763
2020-06-20,43.0,256.0,,0.6076852042391196
2020-06-21,45.0,264.0,,0.5945168374824009
2020-06-22,51.0,371.0,,0.6020429149996918
2020-06-23,68.0,319.0,,0.6383783632843726
2020-06-24,61.0,359.0,,0.6514857843779194
2020-06-25,67.0,406.0,,0.6521979914753291
2020-06-26,92.0,404.0,,0.6472915530021501
2020-06-27,86.0,410.0,,0.6210153819855
2020-06-28,86.0,443.0,,0.600233613979121
2020-06-29,113.0,485.0,,0.6143555125551714
2020-06-30,145.0,434.0,,0.6431664588226568
2020-07-01,128.0,437.0,,0.6510950009617549
2020-07-02,115.0,362.0,,0.6480498375386226
2020-07-03,128.0,437.0,,0.6273965737591048
2020-07-04,113.0,434.0,,0.5983954348684549
2020-07-05,104.0,466.0,,0.5946567714090091
2020-07-06,110.0,512.0,,0.6172773708805954
2020-07-07,114.0,552.0,,0.6445132144807951
2020-07-08,137.0,471.0,,0.649607232568212
2020-07-09,140.0,429.0,,0.6534356976464181
2020-07-10,194.0,413.0,0.6798561151079137,0.6580570221691543
2020-07-11,168.0,471.0,0.6787401574803149,0.6369515010046471
2020-07-12,174.0,449.0,0.6981757877280266,0.6158726902972026
2020-07-13,221.0,424.0,0.7288135593220338,0.6275071581828267
2020-07-14,349.0,332.0,0.733909702209414,0.6569570145644146
2020-07-15,3893.0,648.0,0.6320298293315478,0.6840915099020932
2020-07-16,4536.0,526.0,0.6369885661988234,0.6761675720883754
2020-07-17,4877.0,532.0,0.6306195328510006,0.6712751978671693
2020-07-18,4547.0,440.0,0.6244663932757152,0.6507973206087045
2020-07-19,3668.0,394.0,0.5955533382344784,0.6367627191157493
2020-07-20,4021.0,497.0,0.6161462570485512,0.6426809772843151
2020-07-21,5085.0,570.0,0.6274416903515232,0.668856995445048
2020-07-22,4620.0,739.0,0.6300752400422197,0.6842589766128079
2020-07-23,4863.0,1079.0,0.6420598024442608,0.6757847939086805
2020-07-24,5068.0,838.0,0.662107724139809,0.66822862347953
2020-07-25,5481.0,804.0,0.6630865488689981,0.6504964541246184
2020-07-26,4515.0,874.0,0.6504274720986404,0.6395352796718814
2020-07-27,4991.0,727.0,0.632719011328285,0.635389296878689
2020-07-28,6100.0,767.0,0.6520091191316036,0.6596347195410316
2020-07-29,5257.0,901.0,0.651728344661928,0.670549079645135
2020-07-30,5387.0,1305.0,0.6563651093022362,0.6760739106949258
2020-07-31,6288.0,1348.0,0.6630089395127842,0.6692205187847622
2020-08-01,6034.0,1314.0,0.6495742638751951,0.6506148695706082
2020-08-02,4504.0,1329.0,0.6407175316433645,0.63884219224893
2020-08-03,4471.0,1288.0,0.6248778196863276,0.6457750390218376
2020-08-04,5063.0,1230.0,0.6583909730967049,0.6561657280156017
2020-08-05,4844.0,1329.0,0.6613507202211206,0.6680890876087049
2020-08-06,4911.0,1249.0,0.6606071167847003,0.6666433219091499
2020-08-07,4920.0,1275.0,0.6581537360573435,0.6622237116180738
2020-08-08,4656.0,1270.0,0.6446639615585105,0.6454350427735296
2020-08-09,4149.0,1216.0,0.6289263867625258,0.6314894776169483
2020-08-10,4095.0,1246.0,0.6279318760596887,0.633492304956917
2020-08-11,4796.0,1241.0,0.6503130718693801,0.6593277063909139
2020-08-12,4456.0,1274.0,0.656750396312656,0.6697623137395708
2020-08-13,4594.0,1220.0,0.6621932363849211,0.6727261284375813
2020-08-14,4827.0,1254.0,0.6668436498348793,0.6708932377528494
2020-08-15,4740.0,1223.0,0.6558581945301535,0.6522159378058617
2020-08-16,4173.0,1143.0,0.6398852563833701,0.6399924136780062
2020-08-17,4578.0,1177.0,0.6363629431367315,0.6385558650461899
2020-08-18,4744.0,1137.0,0.6477528371892903,0.6630897102563846
2020-08-19,4273.0,1189.0,0.6574895981201101,0.6758005126458879
2020-08-20,4421.0,1232.0,0.653931058680309,0.6737115197382209
2020-08-21,4173.0,664.0,0.6502874126329721,0.6679220898422658
2020-08-22,4520.0,606.0,0.6455806771174571,0.6486692062113375
2020-08-23,3704.0,530.0,0.6356033212163089,0.6336011785122418
2020-08-24,3770.0,554.0,0.6378323732242708,0.6337454396113672
2020-08-25,4367.0,648.0,0.6724952529757489,0.6614107863043284
2020-08-26,4419.0,635.0,0.6740348323585641,0.6742561159487549
2020-08-27,4178.0,610.0,0.6766609485555678,0.6716173507018272
2020-08-28,4666.0,568.0,0.6649924203274481,0.6674189482275719
2020-08-29,4611.0,518.0,0.6432272729893099,0.6450409508572048
2020-08-30,3915.0,551.0,0.621791195324149,0.627420120614304
2020-08-31,3905.0,539.0,0.6252327360844889,0.6313421224689795
2020-09-01,4122.0,605.0,0.665692949611103,0.6496039963728077
2020-09-02,4077.0,602.0,0.6637612349819167,0.656802091448159
2020-09-03,3841.0,545.0,0.6556924166646649,0.6581712048077514
2020-09-04,4065.0,521.0,0.6509926170843933,0.6519075203572745
2020-09-05,3768.0,540.0,0.6377783795822134,0.6289873235317729
2020-09-06,3312.0,487.0,0.6221573897610563,0.6179186825875629
2020-09-07,3419.0,452.0,0.6102634159818375,0.6148167910872288
2020-09-08,3667.0,544.0,0.6220483873028737,0.6240638440649896
2020-09-09,4544.0,887.0,0.655926937103639,0.6555726696862444
2020-09-10,4501.0,541.0,0.6572117415055229,0.6662061504851303
2020-09-11,4464.0,491.0,0.6551347431473142,0.6686881666535432
2020-09-12,4055.0,479.0,0.6427651168612548,0.6508029253927717
2020-09-13,3754.0,500.0,0.6248134844574847,0.6282519114329147
2020-09-14,3045.0,461.0,0.6242221350068193,0.635017790222182
2020-09-15,3892.0,510.0,0.6567315063544569,0.6651934133330467
2020-09-16,3477.0,557.0,0.6612889284790848,0.6744450918897785
2020-09-17,3569.0,498.0,0.6588425075246497,0.675039457850359
2020-09-18,3528.0,464.0,0.6647971068257569,0.6718915844043559
2020-09-19,3436.0,465.0,0.6497917160306039,0.6556334769339428
2020-09-20,3073.0,466.0,0.6300566794225032,0.6388916987546712
2020-09-21,3216.0,468.0,0.6350273039960697,0.6407777244442203
2020-09-22,3747.0,486.0,0.6685886340275036,0.6708102419607516
2020-09-23,3689.0,453.0,0.6732005944267646,0.6840178218979388
2020-09-24,3577.0,475.0,0.6748191647696684,0.6819539715775819
2020-09-25,3643.0,457.0,0.6728710663191831,0.6788685267696815
2020-09-26,3711.0,444.0,0.6626323908786235,0.6567891156237033
2020-09-27,3294.0,440.0,0.6462468013222976,0.6426246369385226
2020-09-28,3697.0,424.0,0.6423684119975138,0.6443794277969854
2020-09-29,4102.0,551.0,0.6640105212543386,0.675368668536848
2020-09-30,3992.0,432.0,0.6806663964678836,0.690632518196183
2020-10-01,4034.0,462.0,0.6722086787829373,0.6877414147390082
2020-10-02,3891.0,509.0,0.6704141443812554,0.6799220141970113
2020-10-03,4232.0,500.0,0.6569480096047942,0.657990149993601
2020-10-04,3656.0,418.0,0.6384267086960369,0.6423881985070996
2020-10-05,4584.0,559.0,0.6380396974929686,0.64835605957781
2020-10-06,5378.0,485.0,0.6734567237676217,0.6762120624560606
2020-10-07,4813.0,477.0,0.6860925360737214,0.690904999083814
2020-10-08,4829.0,506.0,0.6825312535817417,0.6949290145013022
2020-10-09,4757.0,495.0,0.6789930759230577,0.6919843390648477
2020-10-10,4770.0,520.0,0.6728083141881682,0.6706619324609908
2020-10-11,4537.0,473.0,0.6485032562349969,0.6540327251349046
2020-10-12,4660.0,498.0,0.6499450050612373,0.656472582863514
2020-10-13,5432.0,501.0,0.6734092985292747,0.6843648092905082
2020-10-14,5358.0,488.0,0.6838682767492384,0.6982007763840254
2020-10-15,5274.0,496.0,0.6823984036429233,0.6988647271061186
2020-10-16,5574.0,584.0,0.6823878065647767,0.6977624500659669
2020-10-17,5538.0,518.0,0.6770099920596279,0.6740944591598608
2020-10-18,5165.0,539.0,0.6600354367636339,0.6559014606913379
2020-10-19,5221.0,556.0,0.6593244372628165,0.6531814934597537
2020-10-20,6203.0,563.0,0.6874718288309599,0.681051842668799
2020-10-21,6004.0,557.0,0.6941991800500217,0.6969466779088966
2020-10-22,6154.0,554.0,0.6899805964346248,0.697352115280754
2020-10-23,6131.0,531.0,0.6946865957727787,0.6942324092600206
2020-10-24,6270.0,505.0,0.6811486493745703,0.6735600386132337
2020-10-25,5422.0,507.0,0.6610812222734447,0.6551016026539186
2020-10-26,5545.0,532.0,0.6623032029929127,0.653540203149297
2020-10-27,6625.0,526.0,0.6933982566958985,0.6832301467104895
2020-10-28,7022.0,785.0,0.7001664814322662,0.6924779993018623
2020-10-29,7167.0,769.0,0.7005117573724757,0.7001918687738129
2020-10-30,7431.0,1246.0,0.7005809621479504,0.6991421900945769
2020-10-31,6902.0,1303.0,0.687235906326541,0.6755253655560959
2020-11-01,6349.0,1204.0,0.6700486354782209,0.6578193445320762
2020-11-02,6835.0,1276.0,0.6705432791289714,0.6563560746048239
2020-11-03,7916.0,845.0,0.702266313263282,0.6805060106389033
2020-11-04,8089.0,858.0,0.7125946009563172,0.6973209928496887
2020-11-05,8473.0,934.0,0.7137732989142012,0.6992861142601514
2020-11-06,8806.0,987.0,0.7124554461163383,0.6984698060205176
2020-11-07,8985.0,936.0,0.6955732276533074,0.6806549378232033
2020-11-08,8312.0,935.0,0.6945978086714011,0.6701313933564138
2020-11-09,8643.0,998.0,0.6986677653254694,0.6732591601115346
2020-11-10,10348.0,1016.0,0.7233319130510636,0.7008103859683809
2020-11-11,10447.0,1070.0,0.7326573804186977,0.71802864084288
2020-11-12,10569.0,928.0,0.7238796637025303,0.7173919331257265
2020-11-13,10747.0,1167.0,0.7253286322458694,0.7127593559112322
2020-11-14,10764.0,913.0,0.7162755805139064,0.690148482629181
2020-11-15,10137.0,918.0,0.704712932942477,0.6758876223802821
2020-11-16,10394.0,1024.0,0.7027800972883377,0.6761678319338662
2020-11-17,12210.0,1096.0,0.726439834878014,0.7044591384741344
2020-11-18,12120.0,1151.0,0.7437309415236918,0.7182180821487523
2020-11-19,12154.0,1109.0,0.741348436920873,0.711524458358996
2020-11-20,12506.0,1212.0,0.7381589535360438,0.7112234415491285
2020-11-21,12138.0,1123.0,0.7317828092424623,0.6920658819724302
2020-11-22,11025.0,1062.0,0.7103032356947323,0.6759361379700246
2020-11-23,11266.0,1272.0,0.7137868394436293,0.6756173335214838
2020-11-24,13507.0,1338.0,0.7384610510658794,0.69864125082121
2020-11-25,13249.0,1413.0,0.7350083815771195,0.6979756658879128
2020-11-26,12728.0,1307.0,0.7203047862158198,0.6684364930228279
2020-11-27,11107.0,1207.0,0.7077133652981324,0.6551832869623008
2020-11-28,13093.0,1354.0,0.7118596166546792,0.6566002279393693
2020-11-29,12433.0,1368.0,0.7158231400686353,0.6616307056976688
2020-11-30,12143.0,1335.0,0.728205736978899,0.6742015720681319
2020-12-01,14456.0,1447.0,0.7485408247265459,0.7065966231090891
2020-12-02,13946.0,1573.0,0.7505608312615278,0.7200121485061066
2020-12-03,13913.0,1618.0,0.7548809805518113,0.7210642824361915
2020-12-04,14038.0,1615.0,0.7494642004752018,0.7151634593270161
2020-12-05,13928.0,1550.0,0.7419012032363591,0.6963654257511858
2020-12-06,12456.0,1555.0,0.727644130686816,0.6808589531715635
2020-12-07,12694.0,1646.0,0.7325420846234434,0.686586643622303
2020-12-08,14790.0,1657.0,0.7482665747423369,0.7108439048159249
2020-12-09,15100.0,1758.0,0.757809072171032,0.7190576424955134
2020-12-10,15262.0,1831.0,0.7545759204698986,0.7212950807558454
2020-12-11,15271.0,1671.0,0.7468977265473772,0.716701582431868
2020-12-12,15067.0,1628.0,0.7400268302616215,0.697804699883439
2020-12-13,13404.0,1555.0,0.7265436759075884,0.6826387375796784
2020-12-14,13547.0,1730.0,0.73042458466758,0.6841688282799915
2020-12-15,16191.0,1832.0,0.7471668669527913,0.709602959432293
2020-12-16,15571.0,1844.0,0.7506149468876655,0.7199255194695747
2020-12-17,15247.0,1854.0,0.7493954622355519,0.7162410265941481
2020-12-18,15269.0,1963.0,0.7443298106441925,0.7142607861059772
2020-12-19,15164.0,1997.0,0.7282396331689734,0.6910538459715468
2020-12-20,13865.0,1790.0,0.7177358390335692,0.6757963946871935
2020-12-21,14155.0,2043.0,0.7166769600617761,0.6760570689771437
2020-12-22,16771.0,2094.0,0.7348457978440945,0.6968702146429253
2020-12-23,16461.0,2139.0,0.7357218826813082,0.6954959989188003
2020-12-24,15801.0,1914.0,0.7144293934742308,0.6691037931413438
2020-12-25,14509.0,1930.0,0.6909638529125183,0.6191476903827859
2020-12-26,13376.0,1731.0,0.6871912334485107,0.6201652777877926
2020-12-27,15145.0,1922.0,0.6960663767204857,0.6410614226067166
2020-12-28,14807.0,2168.0,0.708770768549612,0.6613432787986532
2020-12-29,16610.0,2181.0,0.7281426847046271,0.6936603355348497
2020-12-30,16812.0,2171.0,0.7305280315924583,0.7057549669322681
2020-12-31,16751.0,2267.0,0.7243022176202825,0.6984223855110329
2021-01-01,16034.0,2143.0,0.7143243873639384,0.6738825074263867
2021-01-02,15131.0,2047.0,0.7030224446032423,0.6608627743361137
2021-01-03,15924.0,2119.0,0.7081677120833988,0.6680312209568764
2021-01-04,15075.0,2183.0,0.7137083845936302,0.682288346746129
2021-01-05,18104.0,2369.0,0.738189073056199,0.7089473863314405
2021-01-06,17704.0,2372.0,0.7474893949065362,0.7211852802014398
2021-01-07,17070.0,2361.0,0.7452808368238463,0.7208106338605652
2021-01-08,17008.0,2340.0,0.74025351371824,0.7155349316090835
2021-01-09,16774.0,2183.0,0.7306336531271821,0.7015167957706316
2021-01-10,14511.0,2163.0,0.7133551943258789,0.685524734828457
2021-01-11,14140.0,2206.0,0.7183689864459741,0.6888666718304806
2021-01-12,16641.0,2308.0,0.7342915943429718,0.711143817469593
2021-01-13,16447.0,2380.0,0.7435469801483039,0.7222526910687672
2021-01-14,16244.0,2363.0,0.7353620289126812,0.7210397268767575
2021-01-15,16257.0,2337.0,0.7296397430227736,0.7162768404344443
2021-01-16,15604.0,2240.0,0.7218860486838508,0.6983534040595059
2021-01-17,13426.0,2156.0,0.7087169496285389,0.6828318118708666
2021-01-18,12988.0,2177.0,0.7084831778676631,0.6826455843095688
2021-01-19,14556.0,2309.0,0.7260950799523072,0.7044825816122618
2021-01-20,14074.0,2190.0,0.731415813727871,0.7166518608523176
2021-01-21,13895.0,2261.0,0.7337551170170898,0.7184014333491929
2021-01-22,14219.0,2109.0,0.73118378781451,0.7172423794604965
2021-01-23,13318.0,2063.0,0.7181245084525298,0.7000095930372857
2021-01-24,11397.0,1845.0,0.6966403966122571,0.6864675623009148
2021-01-25,10714.0,1899.0,0.700915047208021,0.6845534204079081
2021-01-26,13272.0,1961.0,0.7235125782846493,0.7082052155967588
2021-01-27,12510.0,1970.0,0.7280263113596162,0.7157699408908726
2021-01-28,12207.0,1824.0,0.7229169804469043,0.7138361597667392
2021-01-29,11227.0,1817.0,0.7201981691522316,0.7082201112200079
2021-01-30,11070.0,1651.0,0.7069975612828749,0.6870378541797306
2021-01-31,9524.0,1674.0,0.6920511100400613,0.6706771539411707
2021-02-01,9280.0,1696.0,0.6909041503398571,0.6687851133677637
2021-02-02,10687.0,1720.0,0.7095474020020652,0.6952640691383403
2021-02-03,10579.0,1645.0,0.712630290285288,0.7110691260311485
2021-02-04,10642.0,1742.0,0.706480019823483,0.7083961068640472
2021-02-05,10164.0,1615.0,0.7089111361821446,0.7021970038889441
2021-02-06,9841.0,1500.0,0.7006956459278013,0.6856602339899968
2021-02-07,8115.0,1347.0,0.6786166503056497,0.6696426503092289
2021-02-08,7630.0,1466.0,0.6832672685434792,0.6667979089359759
2021-02-09,9122.0,1374.0,0.7053675778853765,0.6947995774019352
2021-02-10,8678.0,1377.0,0.707064853367906,0.7083703955412445
2021-02-11,8340.0,1363.0,0.6993046663725834,0.7057165953291129
2021-02-12,7952.0,1283.0,0.6938878953708527,0.6986160278848464
2021-02-13,7579.0,1172.0,0.6773871963181384,0.6777736902607345
2021-02-14,6510.0,1123.0,0.6601851240711817,0.6628338730987312
2021-02-15,5901.0,1113.0,0.6621956996695897,0.6565411832024522
2021-02-16,7039.0,1051.0,0.6765907154563429,0.6801688046336295
2021-02-17,7275.0,1134.0,0.6917458316490444,0.6959775478694573
2021-02-18,6929.0,1074.0,0.691804188284237,0.6977858405135705
2021-02-19,6713.0,1078.0,0.688298820746139,0.6968810302419928
2021-02-20,6741.0,936.0,0.6716818169647556,0.6756579505863163
2021-02-21,5811.0,895.0,0.6593405220119863,0.6623432504479323
2021-02-22,5723.0,955.0,0.6605462183922229,0.6631877857589001
2021-02-23,6787.0,907.0,0.6867244631675382,0.6938617649760398
2021-02-24,6596.0,918.0,0.6877688962558651,0.7090728213442244
2021-02-25,6250.0,898.0,0.6919396657972988,0.7099232163796287
2021-02-26,5766.0,826.0,0.6815769535974455,0.7045552774209997
2021-02-27,5593.0,752.0,0.6718956179921918,0.6807711221070302
2021-02-28,4964.0,772.0,0.6485599443144527,0.6647788939883527
2021-03-01,4662.0,735.0,0.6489750957044482,0.6619771391297848
2021-03-02,5453.0,671.0,0.6734781274878964,0.6892784340967018
2021-03-03,5402.0,704.0,0.6768496650340541,0.7029372828004475
2021-03-04,5413.0,682.0,0.6769004643980018,0.7024928586147843
2021-03-05,5322.0,673.0,0.6713388616358349,0.6956723712117094
2021-03-06,5057.0,564.0,0.6608392265361962,0.6717602048245007
2021-03-07,4332.0,570.0,0.6450919015889309,0.6569883550314166
2021-03-08,4307.0,624.0,0.6434805042319652,0.6548115407275922
