date,actual_admissions,predicted_admissions,baseline_prediction,error,absolute_error,percentage_error
2023-07-18,1231.0,1275.8542066792309,1037.0,-44.854206679230856,44.854206679230856,0.036437210949821976
2023-07-19,1229.0,1261.7217505060976,1231.0,-32.72175050609758,32.72175050609758,0.026624695285677444
2023-07-20,1162.0,1230.1650871857612,1229.0,-68.1650871857612,68.1650871857612,0.05866186504798726
2023-07-21,1287.0,1221.7597294014995,1162.0,65.2402705985005,65.2402705985005,0.05069174094677584
2023-07-22,1288.0,1214.111980066955,1287.0,73.88801993304492,73.88801993304492,0.05736647510329574
2023-07-23,1136.0,1114.03844830895,1288.0,21.96155169105009,21.96155169105009,0.019332351840713108
2023-07-24,1202.0,1350.4159245120247,1136.0,-148.41592451202473,148.41592451202473,0.12347414684860626
2023-07-25,1341.0,1459.249606210764,1202.0,-118.24960621076389,118.24960621076389,0.08818016868811625
2023-07-26,1424.0,1499.1048977566063,1341.0,-75.1048977566063,75.1048977566063,0.052742203480762855
2023-07-27,1411.0,1441.2801354589906,1424.0,-30.28013545899057,30.28013545899057,0.02146005347908616
2023-07-28,1402.0,1457.628433784322,1411.0,-55.62843378432194,55.62843378432194,0.03967791282761907
2023-07-29,1446.0,1398.078288080033,1402.0,47.92171191996704,47.92171191996704,0.033140879612701964
2023-07-30,1282.0,1250.958044119547,1446.0,31.041955880453088,31.041955880453088,0.02421369413451879
2023-07-31,1306.0,1475.0461056055826,1282.0,-169.04610560558262,169.04610560558262,0.12943805942234504
2023-08-01,1615.0,1624.8913955353985,1306.0,-9.891395535398487,9.891395535398487,0.0061247031178938
2023-08-02,1581.0,1711.615766743906,1615.0,-130.61576674390608,130.61576674390608,0.08261591824408987
2023-08-03,1603.0,1638.0479821334782,1581.0,-35.04798213347817,35.04798213347817,0.021863993844964548
2023-08-04,1737.0,1675.7141019456706,1603.0,61.28589805432944,61.28589805432944,0.03528261258165195
2023-08-05,1633.0,1684.7882120223633,1737.0,-51.78821202236327,51.78821202236327,0.03171354073629104
2023-08-06,1625.0,1506.31184821789,1633.0,118.68815178211003,118.68815178211003,0.07303886263514463
2023-08-07,1604.0,1755.4807674246244,1625.0,-151.48076742462445,151.48076742462445,0.09443938118742172
2023-08-08,1901.0,1925.527944842618,1604.0,-24.5279448426179,24.5279448426179,0.012902653783597002
2023-08-09,2015.0,2041.56133016022,1901.0,-26.561330160219995,26.561330160219995,0.013181801568347392
2023-08-10,2001.0,2069.8687287965427,2015.0,-68.86872879654265,68.86872879654265,0.034417155820361145
2023-08-11,1948.0,2075.6937709684753,2001.0,-127.69377096847529,127.69377096847529,0.06555121712960744
2023-08-12,1893.0,1977.0280563692172,1948.0,-84.02805636921721,84.02805636921721,0.044388830622935666
