date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2020-08-02,4504.0,1329.0,0.6407175316433645,0.63884219224893,2020,8,6,1,6034.0,4515.0,3668.0,5508.714285714285,5158.142857142857,656.8210599256869
2020-08-03,4471.0,1288.0,0.6248778196863276,0.6457750390218376,2020,8,0,0,4504.0,4991.0,4021.0,5434.428571428572,5190.285714285715,748.1842146474471
2020-08-04,5063.0,1230.0,0.6583909730967049,0.6561657280156017,2020,8,1,0,4471.0,6100.0,5085.0,5286.285714285715,5188.714285714285,695.225074894385
2020-08-05,4844.0,1329.0,0.6613507202211206,0.6680890876087049,2020,8,2,0,5063.0,5257.0,4620.0,5227.285714285715,5204.714285714285,715.3576528063218
2020-08-06,4911.0,1249.0,0.6606071167847003,0.6666433219091499,2020,8,3,0,4844.0,5387.0,4863.0,5159.285714285715,5208.142857142857,720.2522045056418
2020-08-07,4920.0,1275.0,0.6581537360573435,0.6622237116180738,2020,8,4,0,4911.0,6288.0,5068.0,4963.857142857143,5197.571428571428,520.9758243179892
2020-08-08,4656.0,1270.0,0.6446639615585105,0.6454350427735296,2020,8,5,1,4920.0,6034.0,5481.0,4767.0,5138.642857142857,226.12533397800775
2020-08-09,4149.0,1216.0,0.6289263867625258,0.6314894776169483,2020,8,6,1,4656.0,4504.0,4515.0,4716.285714285715,5112.5,316.635286665753
2020-08-10,4095.0,1246.0,0.6279318760596887,0.633492304956917,2020,8,0,0,4149.0,4471.0,4991.0,4662.571428571428,5048.5,388.84052306948564
2020-08-11,4796.0,1241.0,0.6503130718693801,0.6593277063909139,2020,8,1,0,4095.0,5063.0,6100.0,4624.428571428572,4955.357142857143,354.6025273188999
2020-08-12,4456.0,1274.0,0.656750396312656,0.6697623137395708,2020,8,2,0,4796.0,4844.0,5257.0,4569.0,4898.142857142857,344.7482173026166
2020-08-13,4594.0,1220.0,0.6621932363849211,0.6727261284375813,2020,8,3,0,4456.0,4911.0,5387.0,4523.714285714285,4841.5,311.5588303385152
2020-08-14,4827.0,1254.0,0.6668436498348793,0.6708932377528494,2020,8,4,0,4594.0,4920.0,6288.0,4510.428571428572,4737.142857142857,293.29101426333875
2020-08-15,4740.0,1223.0,0.6558581945301535,0.6522159378058617,2020,8,5,1,4827.0,4656.0,6034.0,4522.428571428572,4644.714285714285,301.83376061603514
2020-08-16,4173.0,1143.0,0.6398852563833701,0.6399924136780062,2020,8,6,1,4740.0,4149.0,4504.0,4525.857142857143,4621.071428571428,296.9822826204876
2020-08-17,4578.0,1177.0,0.6363629431367315,0.6385558650461899,2020,8,0,0,4173.0,4095.0,4471.0,4594.857142857143,4628.714285714285,228.38011338659746
2020-08-18,4744.0,1137.0,0.6477528371892903,0.6630897102563846,2020,8,1,0,4578.0,4796.0,5063.0,4587.428571428572,4605.928571428572,221.48879365395587
2020-08-19,4273.0,1189.0,0.6574895981201101,0.6758005126458879,2020,8,2,0,4744.0,4456.0,4844.0,4561.285714285715,4565.142857142857,248.713834413308
2020-08-20,4421.0,1232.0,0.653931058680309,0.6737115197382209,2020,8,3,0,4273.0,4594.0,4911.0,4536.571428571428,4530.142857142857,253.47114046300823
2020-08-21,4173.0,664.0,0.6502874126329721,0.6679220898422658,2020,8,4,0,4421.0,4827.0,4920.0,4443.142857142857,4476.785714285715,249.07122714291063
2020-08-22,4520.0,606.0,0.6455806771174571,0.6486692062113375,2020,8,5,1,4173.0,4740.0,4656.0,4411.714285714285,4467.071428571428,217.21242619895696
2020-08-23,3704.0,530.0,0.6356033212163089,0.6336011785122418,2020,8,6,1,4520.0,4173.0,4149.0,4344.714285714285,4435.285714285715,340.47501831299985
2020-08-24,3770.0,554.0,0.6378323732242708,0.6337454396113672,2020,8,0,0,3704.0,4578.0,4095.0,4229.285714285715,4412.071428571428,382.567516605768
2020-08-25,4367.0,648.0,0.6724952529757489,0.6614107863043284,2020,8,1,0,3770.0,4744.0,4796.0,4175.428571428572,4381.428571428572,319.34247924073463
2020-08-26,4419.0,635.0,0.6740348323585641,0.6742561159487549,2020,8,2,0,4367.0,4273.0,4456.0,4196.285714285715,4378.785714285715,331.3204462378348
